"","acinar","alpha","beta","delta","ductal","endothelial","gamma","immune","stellate"
"acinar",951,0,0,0,2,0,0,0,5
"alpha",8,2310,4,1,0,0,2,1,0
"beta",18,10,2489,6,0,0,2,0,0
"delta",2,3,56,538,0,0,0,2,0
"ductal",177,1,6,1,892,0,0,0,0
"endothelial",0,0,7,0,6,235,0,0,4
"epsilon",0,0,1,9,0,0,8,0,0
"gamma",1,1,3,0,0,0,250,0,0
"immune",0,1,3,0,2,0,0,81,0
"stellate",0,4,5,1,1,0,0,0,446
