"","acinar","alpha","beta","delta","ductal","endothelial","epsilon","gamma","immune","stellate"
"alpha",0,161,17,6,0,0,3,4,0,0
"beta",0,28,850,15,0,0,1,0,0,0
"delta",0,12,38,156,0,0,6,6,0,0
"ductal",2,1,2,0,270,0,0,0,0,0
"endothelial",0,5,2,0,2,129,0,0,0,1
"gamma",0,5,11,2,0,0,3,20,0,0
"immune",1,0,1,0,5,0,0,0,54,0
"stellate",0,0,0,0,0,1,0,0,1,59
