"","acinar","alpha","beta","delta","ductal","endothelial","epsilon","gamma","immune","stellate"
"acinar",951,0,0,0,1,1,0,0,0,5
"alpha",12,2303,4,1,3,0,0,2,1,0
"beta",16,19,2483,5,0,0,0,2,0,0
"delta",2,4,64,529,0,0,0,0,2,0
"ductal",178,1,5,0,893,0,0,0,0,0
"endothelial",0,0,6,0,7,235,0,0,0,4
"epsilon",0,4,1,5,0,0,4,4,0,0
"gamma",1,6,3,0,1,0,0,244,0,0
"immune",0,0,0,0,7,0,0,0,80,0
"stellate",0,4,3,1,3,0,0,0,0,446
