"","acinar","alpha","beta","delta","ductal","endothelial","epsilon","gamma","immune","stellate"
"acinar",950,0,0,0,2,1,0,0,0,5
"alpha",18,2295,5,1,1,0,0,2,2,2
"beta",21,8,2481,9,2,0,0,3,0,1
"delta",4,1,33,559,1,0,0,0,2,1
"ductal",176,1,4,0,896,0,0,0,0,0
"endothelial",0,0,0,0,0,247,0,0,0,5
"epsilon",0,2,0,6,0,0,8,2,0,0
"gamma",1,4,4,0,0,0,0,246,0,0
"immune",0,1,0,0,4,0,0,0,82,0
"stellate",0,1,1,0,0,0,0,0,0,455
