"","symbol","mean","stddev"
"1","GCG",3.0062687370468,2.72554796552852
"2","GHRL",0.0360320598731073,0.325334297636186
"3","PPY",0.814788126015853,1.60866051774203
"4","IAPP",1.90571608013958,2.25328118781314
"5","PRSS1",0.753477013660653,1.58541058189113
"6","REG1A",1.3817576530354,1.99735036231931
"7","ADAMDEC1",0.00565219064558042,0.107074573968106
"8","CELA3A",0.657501682749861,1.53642077954301
"9","SST",2.14954872468553,2.13610644785096
"10","CPA1",0.606548157030424,1.38267690570204
"11","REG1B",0.767893610547209,1.53602860366291
"12","TTR",3.0095432299382,2.40559703549091
"13","TFF1",0.0228143931840374,0.242357265220375
"14","NTS",0.00302787935504885,0.0789093744469321
"15","CTRB2",0.878015534663093,1.66771576388528
"16","CRISP3",0.00365823989214435,0.0902951264140656
"17","BMX",0.00306845400234767,0.0805346643188657
"18","PNLIP",0.409989205995932,1.05717189711506
"19","CPB1",0.544735147147268,1.22197836678627
"20","BATF",0.0035629901486194,0.0724871043696347
"21","CTRB1",0.725990940764923,1.58441227909582
"22","CELA3B",0.438076283389391,1.22227282683448
"23","REG3A",0.527396539618072,1.24043722153782
"24","ACTA1",0.0553852822523137,0.310332186487039
"25","CPA2",0.411835972324383,1.05468229090472
"26","GAST",0.00412623676694286,0.084508717817066
"27","OLFM4",0.374216779482198,1.04034119640255
"28","MPEG1",0.0127980809624777,0.17508419744705
"29","KCNQ4",0.00376731496840046,0.0562918383913087
"30","C1QA",0.0292254192413815,0.256008033334209
"31","ADAM33",0.00110680522788691,0.034264288517281
"32","CPA3",0.0101783739871895,0.172596433415611
"33","CRP",0.126206541122234,0.581605611814062
"34","SPP1",0.561767899439648,1.30390953414056
"35","PLA2G1B",0.52795350741361,1.26582676640376
"36","CCL21",0.00174742763429036,0.0526984852810009
"37","RGS1",0.0292819101341837,0.276388155396396
"38","PLA2G7",0.0168096320181368,0.211231750920346
"39","AMY2A",0.0843153913861298,0.395084937862876
"40","CD69",0.0034324377612053,0.0795173223452575
"41","TIMP3",0.152274823677342,0.607350278479706
"42","COL3A1",0.162504593663251,0.710239159532829
"43","PAX3",0.00063356803254304,0.0264756630427298
"44","CCDC129",0.000517662414798606,0.0276143057779177
"45","IL24",0.0452410596767027,0.375425644472841
"46","LRMP",0.00723152938219989,0.104435203078489
"47","CSF3",0.0156140405731611,0.203614204979837
"48","CFTR",0.242348564093526,0.748898139616337
"49","SPARC",0.277347475191228,0.896356748193585
"50","CLPS",0.45832040583745,1.24224230390096
"51","KRT17",0.0841081503440458,0.453108418007568
"52","GFI1",0.00506903088446956,0.0731844507030541
"53","MMP1",0.0633086097292118,0.433313966422855
"54","TMEM257",0.000387411212780848,0.0230711249819164
"55","TM4SF4",1.17567890817807,1.46880287426777
"56","POSTN",0.0184496994142247,0.205566864681188
"57","COL1A2",0.163683812448229,0.696168304811556
"58","MMP7",0.252232305455941,0.789256211314321
"59","CH25H",0.00526961045384171,0.0829406837160595
"60","GLDN",0.000433043245329257,0.0221700941278015
"61","ANKRD1",0.0459993947135314,0.335006616771673
"62","LUM",0.0505018242671111,0.340077647434823
"63","UBQLNL",0.0019555854057895,0.0430164327687386
"64","SERPINB7",0.0170062133657962,0.191039014863455
"65","CGA",0.002412163029878,0.0634995510548774
"66","BTK",0.00567813747056398,0.0982433683758362
"67","SERPINA3",0.874805831550504,1.55153290945421
"68","CELA2A",0.394667201554116,1.08431139618408
"69","NCF4",0.00829480417882504,0.113069870134097
"70","RNASE7",0.00575987975513101,0.0723879459827301
"71","IRGM",0.0217989956558516,0.178058366610001
"72","APCS",0.0648052341361413,0.359584996241302
"73","MKI67",0.00696890941710156,0.111264724772494
"74","CCL20",0.0488141728653909,0.343492084261905
"75","FREM2",0.0152515412234681,0.107637427917834
"76","MMP10",0.0166532035962598,0.18566299666744
"77","CNR1",0.00569512706016456,0.0818190243614853
"78","C1QC",0.0171538546304125,0.221173367541251
"79","FBLN2",0.0186477625678654,0.18738214392385
"80","CEACAM6",0.0629398147835262,0.38050186035991
"81","TCN1",0.0486289922576972,0.308613822278089
"82","TRIM10",0.000801882619164454,0.0293124829690087
"83","CD93",0.0662870021826225,0.403997102227438
"84","TYROBP",0.027983103395918,0.27602491385547
"85","SERPINA1",1.08786708642228,1.54746747007876
"86","RFX4",0.00131590763543858,0.044844382370334
"87","PFKFB2",0.340593625606223,0.691190802031258
"88","CRISPLD1",0.00208236829176229,0.0455638668837991
"89","SFRP2",0.0711361836300188,0.437762983885555
"90","TNFAIP6",0.0246653379242997,0.201119507085801
"91","CYP2C18",0.00570143281550327,0.0801271122238155
"92","STOX1",0.00946502856775951,0.102337756711098
"93","KIT",0.0244794428727902,0.2231529790956
"94","COL1A1",0.270678122709894,0.879067460487696
"95","UNC13C",0.000411657115171446,0.0185286123040328
"96","IL6",0.0275253598491008,0.259482767761692
"97","LPAR5",0.00143234469506585,0.0427923801769972
"98","PIK3R5",0.00517982239966345,0.0862020325256221
"99","CSPG4",0.00970287713668448,0.128689679263828
"100","CD300A",0.0105206538785707,0.140776612095794
"101","LAPTM5",0.0420099627943253,0.340681417046861
"102","VCAN",0.0628078532140096,0.355888851523367
"103","GP2",0.220030161590143,0.685239712690198
"104","BGN",0.145772566945825,0.646091262378249
"105","FGB",0.0429379813162899,0.290685373519963
"106","TDO2",0.00709363979276625,0.105636948207065
"107","DDIT4L",0.00544363244892215,0.0916806340192653
"108","ALB",0.179072790508482,0.645545307513212
"109","CES1",0.0226685483094189,0.171935852153827
"110","SPINK1",0.873080533716352,1.55692646420877
"111","TBX15",0.000846282389350237,0.0290248691980955
"112","APOF",0.00186643136889632,0.0441463666139274
"113","AIF1",0.0099671311028697,0.119452055756961
"114","UGT1A6",0.00360843952206506,0.049823015810582
"115","FCAMR",0.000291378984743938,0.0168073518113825
"116","P2RY2",0.0141320559479002,0.13024754222941
"117","TPSAB1",0.0106469335880985,0.201418607693438
"118","SLC24A2",0.0201963595278445,0.172946771569555
"119","BCL6B",0.0229993848599579,0.205018530280919
"120","LCP1",0.0375860246252819,0.26184626220931
"121","FAM216B",0.000687738177340184,0.0268442473110286
"122","LY86",0.00281167928515223,0.0713146250321335
"123","GLYCTK",0.0384392822387829,0.183560456744915
"124","CCDC17",0.00542314428140736,0.0703251443348775
"125","WNT5A",0.0566402501242196,0.319493836638982
"126","G6PC2",0.805298738239767,1.18132045381274
"127","STC1",0.130048543192072,0.54595947152399
"128","CYP24A1",0.000562697347252172,0.0270423852574965
"129","FMOD",0.0629141987907281,0.345417419373692
"130","LCN2",0.506014023955415,1.12602636379616
"131","PRSS3",0.434473403481793,0.975418974684538
"132","CELA2B",0.137280886806505,0.502468516225321
"133","GLRA2",0.000522034388952107,0.0254977433199685
"134","RAMP3",0.026466162360933,0.249405697179921
"135","AADAC",0.0495333966330518,0.25541715076136
"136","TGM1",0.00274035077860955,0.0516239821852556
"137","DIO2",0.0020695248954658,0.0467895556322977
"138","THBS1",0.184702809383942,0.635467147946347
"139","NRK",0.00161827057220033,0.0315969518904216
"140","KRT19",0.460451370103936,1.00435211920612
"141","SCN4B",0.00316529363914598,0.0582244099685985
"142","CALB2",0.00438878300573315,0.0800047647303764
"143","VWF",0.0330159784899732,0.278612937610635
"144","PBK",0.00359681340459167,0.0669581673751942
"145","COL4A1",0.213030580883022,0.701206640847205
"146","ESM1",0.0621312830447303,0.429704526079946
"147","SPRN",0.00694787669426684,0.0735194592717455
"148","GSTA2",0.18517866219223,0.596482186381044
"149","NEAT1",0.82140624345721,1.00874559147285
"150","TGFBI",0.117614880511612,0.496146652345943
"151","ALDH1A3",0.15220226347573,0.523965812018285
"152","CD44",0.910617976790513,1.18914136245552
"153","TOP2A",0.0104584770827941,0.138810872893834
"154","PPP1R16B",0.0113258565629971,0.134343997958825
"155","DUOXA2",0.167967546472592,0.615946943531387
"156","FPR3",0.00488542754494834,0.091186779710553
"157","SLA",0.00793882698835215,0.120707349163524
"158","ITIH1",0.00128068658164036,0.0405950306233523
"159","PADI3",0.00184815381076548,0.0396912507033065
"160","MCM10",0.00290667262824059,0.0529968457288956
"161","MTNR1A",0.000755801203532351,0.0182475438752492
"162","BICC1",0.0943065750560922,0.381036663958036
"163","PLP1",0.00352595131574298,0.0742911518740867
"164","HSPA6",0.0576289176565951,0.346399774173143
"165","CDC20",0.00459446185455905,0.0801462448469492
"166","KANK4",0.015646541752138,0.133826558031791
"167","CUZD1",0.146265855095029,0.608522846029634
"168","NPPB",0.00512461219884296,0.0990448545000266
"169","TNFAIP2",0.165732273628119,0.520520296802609
"170","MMP2",0.0664842760833654,0.380506378607364
"171","OR1N2",0.000156707182296806,0.0118067977449177
"172","CFB",0.427988607297908,0.957407185381218
"173","SIGLEC6",0.00101110298818544,0.0458449832923766
"174","SLC6A15",0.00106504875117088,0.0282595749352281
"175","GABBR2",0.0250897141271354,0.201152255340565
"176","CEACAM7",0.0658743150131286,0.388873470699727
"177","ANXA1",0.10344120011291,0.41364927729829
"178","AQP1",0.156286677778553,0.573535947037929
"179","PNLIPRP1",0.267357029185804,0.812428242139738
"180","GJA4",0.0356803473737626,0.28031552755769
"181","VCAM1",0.0933354436012525,0.425465156360611
"182","CD80",0.000690849401256118,0.0333152692601255
