"","B","DC","HSC","MK","Mono_CD14","Mono_CD16","NK","T_CD4","T_CD8"
"B",1226,0,0,1,0,0,2,0,2
"DC",0,247,0,0,8,0,0,0,0
"HSC",0,0,18,0,1,0,0,0,0
"MK",0,0,0,59,2,1,0,1,0
"Mono_CD14",0,2,0,0,1820,0,0,0,0
"Mono_CD16",0,0,0,0,16,226,0,0,0
"NK",0,0,0,0,0,0,321,0,1
"T_CD4",0,0,0,0,0,0,0,2480,44
"T_CD8",0,0,0,0,0,0,29,110,1688
