"","B","DC","HSC","MK","Mono_CD14","Mono_CD16","NK","T_CD4","T_CD8"
"B",587,0,0,0,0,0,1,0,1
"DC",0,77,0,0,0,1,0,0,0
"HSC",4,0,17,0,0,0,0,0,0
"MK",0,0,0,26,2,2,0,0,0
"Mono_CD14",0,5,0,0,800,36,0,0,0
"Mono_CD16",0,0,0,0,3,349,0,0,0
"NK",0,0,0,0,0,0,285,0,6
"T_CD4",0,0,0,0,0,0,0,1639,18
"T_CD8",0,0,0,0,0,0,7,88,804
